,Age,workclass,fnlwgt,education num,marital-status,Occuption,race,sex,capital gain,capital loss,hours per week,native country,revenue
35,19,3,544091,9,1,0,0,0,0,0,25,0,0
36,48,5,265477,12,2,9,0,1,0,0,40,0,0
37,31,3,507875,5,2,6,0,1,0,0,43,0,0
38,53,5,88506,13,2,9,0,1,0,0,40,0,0
39,24,3,172987,13,2,12,0,1,0,0,50,0,0
40,49,3,94638,9,5,0,0,0,0,0,40,0,0
41,25,3,289980,9,4,5,0,1,0,0,35,0,0
42,57,0,337895,13,2,9,3,1,0,0,40,0,1
43,53,3,144361,9,2,6,0,1,0,0,38,0,0
44,44,3,128354,14,0,3,0,0,0,0,40,0,0
45,41,1,101603,11,2,2,0,1,0,0,40,0,0
46,29,3,271466,11,4,9,0,1,0,0,43,0,0
47,25,3,32275,10,2,3,4,0,0,0,40,0,0
48,47,3,51835,15,2,9,0,0,0,1902,60,6,1
49,50,0,251585,13,0,3,0,1,0,0,55,0,1
50,47,4,109832,9,0,3,0,1,0,0,60,0,0
51,43,3,237993,10,2,12,0,1,0,0,40,0,1
52,46,3,216666,3,2,6,0,1,0,0,40,4,0
53,35,3,56352,11,2,7,0,1,0,0,40,5,0
54,41,3,147372,9,2,0,0,1,0,0,48,0,0
55,30,3,188146,9,2,6,0,1,5013,0,40,0,0
56,30,3,59496,13,2,11,0,1,2407,0,40,0,0
57,48,3,149640,9,2,13,0,1,0,0,40,0,0
58,42,3,116632,16,2,9,0,1,0,0,45,0,1
59,29,3,105598,10,0,12,0,1,0,0,58,0,0
60,36,3,155537,9,2,2,0,1,0,0,40,0,0
61,28,3,183175,10,0,0,0,0,0,0,40,0,0
62,53,3,169846,9,2,0,0,0,0,0,40,0,1
63,49,4,191681,10,2,3,0,1,0,0,50,0,1
64,19,3,101509,10,4,9,0,1,0,0,32,0,0
65,31,3,309974,13,5,11,3,0,0,0,40,0,0
66,29,5,162298,13,2,11,0,1,0,0,70,0,1
67,23,3,211678,10,4,6,0,1,0,0,40,0,0
68,79,3,124744,10,2,9,0,1,0,0,20,0,0
69,27,3,213921,9,4,7,0,1,0,0,40,4,0
70,40,3,32214,12,2,0,0,1,0,0,40,0,0
71,18,3,309634,7,4,7,0,0,0,0,22,0,0
72,31,2,125927,4,2,4,0,1,0,0,40,0,0
73,18,3,446839,9,4,11,0,1,0,0,30,0,0
74,52,3,276515,13,2,7,0,1,0,0,40,1,0
75,46,3,51618,9,2,7,0,0,0,0,40,0,0
76,59,3,159937,9,2,11,0,1,0,0,48,0,0
77,44,3,343591,9,0,2,0,0,14344,0,40,0,1
78,53,3,346253,9,0,11,0,0,0,0,35,0,0
79,49,2,268234,9,2,10,0,1,0,0,40,0,1
80,33,3,202051,14,2,9,0,1,0,0,50,0,0
81,30,3,54334,5,4,11,0,1,0,0,40,0,0
82,43,0,410867,16,4,9,0,0,0,0,50,0,1
83,57,3,249977,11,2,9,0,1,0,0,40,0,0
84,37,3,286730,10,0,2,0,0,0,0,40,0,0
85,28,3,212563,10,0,6,3,0,0,0,25,0,0
86,34,2,226296,13,2,10,0,1,0,0,40,0,1
87,29,2,115585,10,4,5,0,1,0,0,50,0,0
88,48,5,191277,16,2,9,0,1,0,1902,60,0,1
89,37,3,202683,10,2,11,0,1,0,0,48,0,1
90,48,3,171095,12,0,3,0,0,0,0,40,7,0
91,32,0,249409,9,4,7,3,1,0,0,40,0,0
92,76,3,124191,14,2,3,0,1,0,0,40,0,1
93,44,3,198282,13,2,3,0,1,15024,0,60,0,1
94,47,5,149116,14,4,9,0,0,0,0,50,0,0
95,20,3,188300,10,4,12,0,0,0,0,40,0,0
96,29,3,103432,9,4,2,0,1,0,0,40,0,0
97,32,4,317660,9,2,2,0,1,7688,0,40,0,1
98,30,3,194901,7,4,5,0,1,0,0,40,0,0
99,31,2,189265,9,4,0,0,0,0,0,40,0,0
100,42,3,124692,9,2,5,0,1,0,0,40,0,0
101,24,3,432376,13,4,11,0,1,0,0,40,0,0
102,38,3,65324,15,2,9,0,1,0,0,40,0,1
103,56,5,335605,9,2,7,0,1,0,1887,50,8,1
104,28,3,377869,10,2,11,0,0,4064,0,25,0,0
105,36,3,102864,9,4,6,0,0,0,0,40,0,0
106,53,3,95647,5,2,5,0,1,0,0,50,0,0
107,56,4,303090,10,2,11,0,1,0,0,50,0,0
108,49,2,197371,11,2,2,3,1,0,0,40,0,1
109,55,3,247552,10,2,11,0,1,0,0,56,0,0
110,22,3,102632,9,4,2,0,1,0,0,41,0,0
111,21,3,199915,10,4,7,0,0,0,0,40,0,0
112,40,3,118853,13,2,3,0,1,0,0,60,0,0
113,30,3,77143,13,4,3,3,1,0,0,40,9,0
114,29,1,267989,13,2,9,0,1,0,0,50,0,1
115,19,3,301606,10,4,7,3,1,0,0,35,0,0
116,47,3,287828,13,2,3,0,0,0,0,40,0,1
117,20,3,111697,10,4,0,0,0,0,1719,28,0,0
118,31,3,114937,12,2,0,0,1,0,0,40,0,1
119,39,3,365739,10,0,2,0,1,0,0,40,0,0
120,28,3,69621,12,4,11,0,0,0,0,60,0,0
121,24,3,43323,9,4,7,0,0,0,1762,40,0,0
122,38,5,120985,9,2,2,0,1,4386,0,35,0,0
123,37,3,254202,13,2,11,0,1,0,0,50,0,0
124,46,3,146195,12,0,12,3,0,0,0,36,0,0
125,38,0,125933,14,2,9,0,1,0,0,40,10,1
126,43,5,56920,9,2,2,0,1,0,0,60,0,0
127,27,3,163127,11,2,0,0,0,0,0,35,0,0
128,20,3,34310,10,4,11,0,1,0,0,20,0,0
129,49,3,81973,10,2,2,1,1,0,0,40,0,1
130,61,4,66614,9,2,2,0,1,0,0,40,0,0
131,27,3,232782,10,4,11,0,0,0,0,40,0,0
132,19,3,316868,10,4,7,0,1,0,0,30,4,0
133,45,3,196584,11,4,9,0,0,0,1564,40,0,1
134,70,3,105376,10,4,12,0,1,0,0,40,0,0
135,31,3,185814,9,4,13,3,0,0,0,30,0,0
136,22,3,175374,10,2,7,0,1,0,0,24,0,0
137,36,3,108293,9,6,7,0,0,0,0,24,0,0
138,64,3,181232,7,2,2,0,1,0,2179,40,0,0
139,47,2,186009,10,0,0,0,0,0,0,38,4,0
140,34,3,198183,9,4,0,0,0,0,0,40,0,0
141,33,3,163003,13,4,3,1,0,0,0,40,11,0
142,21,3,296158,9,4,2,0,1,0,0,35,0,0
143,48,3,187715,9,2,2,0,1,0,0,46,0,0
144,23,3,214542,13,4,5,0,1,0,0,40,0,0
145,71,5,494223,10,5,11,3,1,0,1816,2,0,0
146,29,3,191535,9,0,2,0,1,0,0,60,0,0
147,42,3,228456,13,5,7,3,1,0,0,50,0,0
148,25,3,252752,9,4,7,0,0,0,0,40,0,0
149,44,4,78374,14,0,3,1,0,0,0,40,0,0
150,28,3,88419,9,4,3,1,0,0,0,40,7,0
151,45,5,201080,14,2,11,0,1,0,0,40,0,1
152,36,3,207157,10,0,7,0,0,0,0,40,4,0
153,39,0,235485,12,4,3,0,1,0,0,42,0,0
154,46,1,102628,14,6,10,0,1,0,0,40,0,0
155,18,3,25828,7,4,5,0,1,0,0,16,0,0
156,66,2,54826,11,6,9,0,0,0,0,20,0,0
157,27,3,124953,9,4,7,0,1,0,1980,40,0,0
158,28,1,175325,9,2,10,0,1,0,0,40,0,0
159,51,3,96062,10,2,11,0,1,0,1977,40,0,1
160,27,3,428030,13,4,2,0,1,0,0,50,0,0
161,28,1,149624,13,2,9,0,1,0,0,40,0,1
162,27,3,253814,9,3,11,0,0,0,0,25,0,0
163,21,3,312956,9,4,2,3,1,0,0,40,0,0
164,34,3,483777,9,4,5,3,1,0,0,40,0,0
165,18,3,183930,9,4,7,0,1,0,0,12,0,0
166,33,3,37274,13,2,9,0,1,0,0,65,0,0
167,44,2,181344,10,2,3,3,1,0,0,38,0,1
168,43,3,114580,10,0,0,0,0,0,0,40,0,0
169,30,3,633742,10,4,2,3,1,0,0,45,0,0
170,40,3,286370,4,2,6,0,1,0,0,40,4,1
171,37,0,29054,10,2,0,0,1,0,0,42,0,1
172,34,3,304030,9,2,0,3,1,0,0,40,0,0
173,41,5,143129,13,0,3,0,0,0,0,40,0,0
174,31,3,99928,14,2,9,0,0,0,0,50,0,0
175,58,1,109567,16,2,9,0,1,0,0,1,0,1
176,38,3,155222,10,0,6,3,0,0,0,28,0,0
177,24,3,159567,10,2,6,0,1,0,0,40,0,0
178,41,2,523910,13,2,2,3,1,0,0,40,0,0
179,47,3,120939,10,2,12,0,1,0,0,45,0,0
180,41,0,130760,13,2,12,0,1,0,0,24,0,0
181,23,3,197387,3,2,13,0,1,0,0,40,4,0
182,36,3,99374,10,0,2,0,1,0,0,40,0,0
183,40,0,56795,14,4,3,0,0,14084,0,55,0,1
184,35,3,138992,14,2,9,0,1,7298,0,40,0,1
185,24,5,32921,9,4,11,0,1,0,0,40,0,0
186,26,3,397317,14,4,9,0,0,0,1876,40,0,0
187,51,3,259323,13,2,3,0,1,0,0,50,0,1
188,42,2,254817,10,4,9,0,0,0,1340,40,0,0
189,37,1,48211,9,0,0,0,0,0,0,35,0,0
190,18,3,140164,7,4,11,0,0,0,0,40,0,0
191,36,3,128757,13,2,7,3,1,7298,0,36,0,1
192,35,3,36270,9,0,2,0,1,0,0,60,0,0
193,58,4,210563,9,2,11,0,0,15024,0,35,0,1
194,17,3,65368,7,4,11,0,0,0,0,12,0,0
195,44,2,160943,9,2,13,3,1,0,0,40,0,0
196,37,3,208358,9,2,2,0,1,0,0,40,0,1
197,35,3,153790,10,4,11,2,0,0,0,40,0,0
198,60,3,85815,9,2,2,1,1,0,0,40,0,0
199,54,4,125417,4,2,6,0,1,0,0,40,0,1
200,37,3,635913,13,4,3,3,1,0,0,60,0,1
201,50,3,313321,12,0,11,0,0,0,0,40,0,0
202,38,3,182609,13,2,11,0,1,0,0,50,12,0
203,45,3,109434,13,2,9,0,1,0,0,55,0,0
204,25,3,255004,6,4,2,0,1,0,0,40,0,0
205,31,3,197860,10,2,5,0,1,0,0,40,0,0
206,90,3,51744,9,4,7,3,1,0,2206,40,0,0
207,54,3,176681,9,2,0,3,1,0,0,20,0,0
208,53,2,140359,1,4,6,0,0,0,0,35,0,0
209,18,3,243313,9,4,11,0,0,0,0,40,0,0
210,66,5,167687,9,2,4,0,1,1409,0,50,0,0
211,75,3,314209,11,6,0,0,0,0,0,20,13,0
212,65,3,176796,9,0,0,0,0,0,0,40,0,0
213,35,3,538583,7,5,13,3,1,3674,0,40,0,0
214,41,3,130408,9,0,11,3,0,0,0,38,0,0
215,25,3,159732,10,4,0,0,1,0,0,42,0,0
216,33,3,110978,10,0,2,4,0,0,0,40,0,0
217,28,3,76714,15,4,9,0,1,0,0,55,0,1
218,59,1,268700,9,2,7,0,1,0,0,40,0,0
219,40,1,170525,10,4,0,0,0,0,0,38,0,0
220,41,3,180138,13,2,3,0,1,0,0,50,10,1
221,38,2,115076,14,2,3,0,1,0,0,70,0,1
222,23,3,115458,9,4,13,0,1,0,0,40,0,0
223,40,3,347890,13,2,9,0,1,0,0,40,0,1
224,41,5,196001,9,2,7,0,0,0,0,20,0,0
225,24,1,273905,12,2,10,0,1,0,0,50,0,0
226,38,3,179488,10,0,2,0,1,0,1741,40,0,0
227,58,3,236596,9,2,0,0,1,0,0,45,0,1
228,32,3,183916,9,4,7,0,0,0,0,34,0,0
229,40,3,207578,12,2,12,0,1,0,1977,60,0,1
230,41,3,112763,15,2,9,0,0,0,0,40,0,1
231,42,3,390781,13,2,0,3,0,0,0,40,0,0
232,59,2,171328,6,6,7,3,0,0,0,30,0,0
233,19,2,27382,10,4,0,0,1,0,0,40,0,0
234,58,3,259014,10,4,13,0,1,0,0,20,0,0
235,42,5,303044,9,2,4,1,1,0,0,40,14,1
236,20,3,117789,9,4,7,0,0,0,0,40,0,0
237,32,3,172579,9,5,7,0,0,0,0,30,0,0
238,45,3,187666,11,6,3,0,0,0,0,45,0,0
239,50,3,204518,4,0,2,0,1,0,0,40,0,0
240,36,3,150042,13,0,9,0,0,0,0,40,0,0
241,45,3,98092,9,2,11,0,1,0,0,60,0,0
242,17,3,245918,7,4,7,0,1,0,0,12,0,0
243,59,3,146013,10,2,11,0,1,4064,0,40,0,0
244,26,3,378322,7,2,2,0,1,0,0,40,0,0
245,37,4,257295,10,2,3,1,1,0,0,75,15,1
246,64,3,21174,9,2,3,0,1,0,0,40,0,1
247,33,3,185480,13,4,9,0,0,0,0,45,0,0
248,33,3,222205,9,2,2,0,0,0,0,40,0,1
249,61,3,69867,9,2,3,0,1,0,0,40,0,1
250,17,3,191260,5,4,7,0,1,1055,0,24,0,0
251,50,5,30653,14,2,4,0,1,2407,0,98,0,0
252,27,2,209109,14,4,9,0,1,0,0,35,0,0
253,30,3,70377,9,0,9,0,0,0,0,40,0,0
254,43,3,477983,9,2,5,3,1,0,0,40,0,0
255,44,3,170924,10,2,2,0,1,7298,0,40,0,1
256,35,3,190174,10,4,3,0,0,0,0,40,0,0
257,25,3,193787,10,4,12,0,0,0,0,40,0,0
258,24,3,279472,10,2,6,0,0,7298,0,48,0,1
259,22,3,34918,13,4,9,0,0,0,0,15,9,0
260,42,2,97688,10,2,2,0,1,5178,0,40,0,1
261,34,3,175413,12,0,11,3,0,0,0,45,0,0
262,60,3,173960,13,0,9,0,0,0,0,42,0,0
263,21,3,205759,9,4,5,0,1,0,0,40,0,0
264,57,0,425161,14,2,11,0,1,15024,0,40,0,1
265,41,3,220531,15,2,9,0,1,0,0,60,0,1
266,50,3,176609,10,0,7,0,1,0,0,45,0,0
267,25,3,371987,13,4,3,0,0,0,0,40,0,0
268,50,3,193884,4,2,2,0,1,0,0,40,16,0
269,36,3,200352,13,2,9,0,1,0,0,45,0,0
270,31,3,127595,9,0,9,0,0,0,0,40,0,0
271,29,2,220419,13,4,10,0,1,0,0,56,0,0
272,21,3,231931,10,4,11,0,1,0,0,45,0,0
273,27,3,248402,13,4,12,3,0,0,0,40,0,0
274,65,3,111095,9,2,13,0,1,0,0,16,0,0
275,37,4,57424,13,0,11,0,0,0,0,60,0,0
276,24,3,278130,9,4,2,0,1,0,0,40,0,0
277,38,3,169469,9,0,11,0,1,0,0,80,0,0
278,48,3,146268,13,2,0,0,1,7688,0,40,0,1
279,21,3,153718,10,4,7,1,0,0,0,25,0,0
280,31,3,217460,9,2,13,0,1,0,0,45,0,1
281,55,3,238638,9,2,11,0,1,4386,0,40,0,1
282,24,3,303296,10,2,0,1,0,0,0,40,17,0
283,43,3,173321,9,0,0,0,0,0,0,40,0,0
284,26,3,193945,12,4,12,0,1,0,0,45,0,0
285,46,3,83082,12,4,9,0,0,0,0,33,0,0
286,35,3,193815,12,2,0,0,1,0,0,40,0,1
287,41,4,34987,10,2,4,0,1,0,0,54,0,1
288,26,3,59306,13,4,11,0,1,0,0,40,0,0
289,34,3,142897,14,2,3,1,1,7298,0,35,18,1
290,36,5,205607,13,0,9,3,0,0,0,40,0,1
291,22,3,199698,10,4,11,0,1,0,0,15,0,0
292,24,3,191954,10,4,6,0,1,0,0,40,0,0
293,77,5,138714,10,2,11,0,1,0,0,40,0,0
294,22,3,399087,3,2,6,0,0,0,0,40,4,0
295,29,3,423158,10,4,12,0,0,0,0,40,0,0
296,62,3,159841,9,6,7,0,0,0,0,24,0,0
297,39,5,174308,9,2,3,0,1,0,0,40,0,0
298,43,3,50356,10,2,2,0,1,0,1485,50,0,0
299,35,3,186110,9,0,13,0,1,0,0,45,0,0
300,29,3,200381,7,4,3,0,0,0,0,40,0,0
301,76,5,174309,14,2,2,0,1,0,0,10,0,0
302,63,5,78383,9,2,4,0,1,0,0,45,0,0
303,43,3,187728,10,2,9,0,0,0,1887,50,0,1
304,58,5,321171,9,2,5,0,1,0,0,40,0,0
305,66,3,127921,9,4,13,0,1,2050,0,55,0,0
306,41,3,206565,10,4,2,3,1,0,0,45,0,0
307,26,3,224563,13,4,0,0,1,0,0,40,0,0
308,47,3,178686,11,4,7,0,1,0,0,40,0,0
309,55,2,98545,6,2,0,0,1,0,0,40,0,0
310,53,3,242606,9,2,13,0,1,0,0,40,0,0
311,17,3,270942,3,4,7,0,1,0,0,48,4,0
312,30,3,94235,9,4,2,0,1,0,0,40,0,0
313,49,3,71195,14,4,9,0,1,0,0,60,0,0
314,19,3,104112,9,4,11,3,1,0,0,30,19,0
315,45,3,261192,9,2,7,3,1,0,0,40,0,0
316,26,3,94936,12,4,11,0,1,0,0,40,0,0
317,38,3,296478,11,2,2,0,1,7298,0,40,0,1
318,36,1,119272,9,2,10,0,1,7298,0,40,0,1
319,33,3,85043,9,4,4,0,1,0,0,20,0,0
320,22,1,293364,10,4,10,3,0,0,0,40,0,0
321,43,5,241895,13,4,11,0,1,0,0,42,0,0
322,56,3,101128,12,3,7,0,1,0,0,25,10,0
323,31,3,156464,13,4,9,0,1,0,0,25,0,0
324,33,3,117963,13,2,3,0,1,0,0,40,0,1
325,26,3,192262,9,2,7,0,1,0,0,40,0,0
326,33,3,111363,13,2,3,0,1,0,0,40,0,1
327,46,2,329752,7,2,13,0,1,0,0,30,0,0
328,38,0,95432,9,2,0,0,1,0,0,40,0,1
329,65,3,161400,7,6,7,4,1,0,0,40,0,0
330,40,3,96129,11,2,12,0,1,0,0,40,0,1
331,42,3,111949,9,2,0,0,0,0,0,35,0,0
332,26,5,117125,5,2,2,0,1,0,0,40,20,0
333,36,3,348022,6,2,7,0,0,0,0,24,0,0
334,62,3,270092,14,2,9,0,1,0,0,40,0,1
335,43,3,180609,13,2,13,0,1,0,0,45,0,0
336,43,3,174575,13,0,3,0,1,0,1564,45,0,1
337,22,3,410439,9,3,11,0,1,0,0,55,0,0
338,28,3,92262,9,2,2,0,1,0,0,40,0,0
339,56,5,183081,10,2,11,0,1,0,0,45,0,0
340,22,3,362589,12,4,11,0,0,0,0,15,0,0
341,57,3,212448,13,0,3,0,0,0,0,45,0,1
342,39,3,481060,9,0,11,0,0,0,0,40,0,0
343,26,0,185885,10,4,0,0,0,0,0,15,0,0
344,17,3,89821,7,4,7,0,1,0,0,10,0,0
345,40,1,184018,11,2,6,0,1,0,0,38,0,1
346,45,3,256649,9,2,6,3,1,0,0,40,0,0
347,44,3,160323,9,4,2,3,1,0,0,40,0,0
348,20,2,350845,10,4,0,0,0,0,0,10,0,0
349,33,3,267404,9,2,2,0,0,0,0,40,0,0
350,23,3,35633,10,4,11,0,1,0,0,40,0,0
351,46,5,80914,14,0,3,0,1,0,0,30,0,0
352,38,3,172927,9,2,11,0,1,0,0,50,0,0
353,54,3,174319,9,0,13,0,1,0,0,40,0,0
354,46,3,214955,3,0,2,0,0,0,2339,45,0,0
355,25,3,344991,10,2,2,0,1,0,0,40,0,0
356,46,3,108699,10,0,11,0,0,0,0,40,0,0
357,36,2,117312,10,2,13,0,0,0,0,40,0,0
358,23,3,396099,9,4,7,0,0,0,0,25,0,0
359,29,3,134152,9,5,6,0,1,0,0,40,0,0
360,44,3,162028,10,2,0,0,0,0,2415,6,0,1
361,19,3,25429,10,4,0,0,0,0,0,16,0,0
362,19,3,232392,9,4,7,0,0,0,0,40,0,0
363,35,3,220098,9,2,7,0,0,0,0,40,0,1
364,27,3,301302,13,4,2,0,1,0,0,50,0,0
365,46,5,277946,12,5,2,0,1,0,0,40,0,0
366,34,3,196164,9,4,7,0,0,0,0,35,0,0
367,44,3,115562,10,2,12,0,1,0,0,40,0,0
368,45,3,96975,10,0,5,0,0,0,0,40,0,0
369,25,3,86872,13,2,3,0,1,0,0,55,0,1
370,52,4,132178,13,2,3,0,1,0,0,50,0,1
371,20,3,416103,10,4,5,0,1,0,0,40,0,0
372,28,3,108574,10,4,7,0,0,0,0,40,0,0
373,50,1,288353,13,2,10,0,1,0,0,40,0,1
374,34,3,227689,11,0,12,0,0,0,0,64,0,0
375,28,3,166481,4,2,5,4,1,0,2179,40,5,0
376,41,3,445382,14,2,3,0,1,0,1977,65,0,1
377,28,3,110145,9,2,0,0,1,0,0,40,0,0
378,46,5,317253,9,2,2,0,1,0,0,25,0,0
379,32,3,364657,10,2,3,0,1,0,0,50,0,0
380,41,2,42346,10,0,7,3,0,0,0,24,0,0
381,24,3,241951,9,4,5,3,0,0,0,40,0,0
382,33,3,118500,10,0,3,0,0,0,0,40,0,0
383,46,3,188386,16,2,3,0,1,15024,0,60,0,1
384,31,1,1033222,10,2,6,0,1,0,0,40,0,0
385,35,3,92440,8,0,2,0,1,0,0,50,0,1
386,52,3,190762,2,2,6,0,1,0,0,40,4,0
387,30,3,426017,7,4,7,0,0,0,0,19,0,0
388,34,2,243867,7,5,6,3,1,0,0,40,0,0
389,34,1,240283,9,0,13,0,0,0,0,40,0,0
390,20,3,61777,10,2,11,0,1,0,0,30,0,0
391,17,3,175024,7,4,5,0,1,2176,0,18,0,0
392,32,1,92003,13,2,3,0,0,0,0,40,0,1
393,29,3,188401,9,0,4,0,1,0,0,40,0,0
394,33,3,228528,6,4,2,0,0,0,0,35,0,0
395,25,3,133373,9,2,13,0,1,0,0,60,0,0
396,36,0,255191,14,4,9,0,1,0,1408,40,0,0
397,23,3,204653,9,4,5,0,1,0,0,72,21,0
398,63,4,222289,9,2,3,0,1,0,0,40,0,1
399,47,2,287480,14,2,9,0,1,0,0,40,0,0
400,40,5,204116,13,3,9,0,0,2174,0,40,0,0
401,30,3,29662,12,2,7,0,0,0,0,25,0,1
402,27,3,116358,10,4,2,1,1,0,1980,40,11,0
403,33,3,208405,14,2,9,0,1,0,0,50,0,1
404,34,2,284843,9,4,4,3,1,594,0,60,0,0
405,34,2,117018,10,4,10,0,0,0,0,40,0,0
406,23,3,81281,10,2,0,0,1,0,0,40,0,0
407,42,2,340148,10,2,0,0,0,0,0,40,0,0
408,29,3,363425,13,4,9,0,1,0,0,40,0,0
409,45,3,45857,9,0,0,0,0,0,0,28,0,0
410,24,0,191073,9,4,1,0,1,0,0,40,0,0
411,44,3,116632,10,2,9,0,1,0,0,40,0,1
412,27,3,405855,5,4,2,0,1,0,0,40,4,0
413,20,3,298227,10,4,11,0,1,0,0,35,0,0
414,44,3,290521,9,6,3,3,0,0,0,40,0,0
415,51,3,56915,9,2,2,2,1,0,0,40,0,0
416,20,3,146538,9,2,6,0,1,0,0,40,0,0
417,19,3,206399,9,4,6,3,0,0,0,40,0,0
418,45,4,197332,10,2,2,0,1,0,0,55,0,1
419,60,3,245062,9,2,2,0,1,0,0,40,0,1
420,44,5,234885,9,2,11,0,0,0,0,40,0,1
421,40,3,72887,11,2,6,1,1,0,0,40,0,1
422,30,3,180374,9,2,3,0,0,0,0,40,0,0
423,38,3,351299,10,2,13,3,1,0,0,50,0,0
424,23,3,54012,9,2,13,0,1,0,0,60,0,0
425,44,3,116632,12,4,4,0,1,0,0,40,0,0
426,54,2,288825,9,2,13,3,1,0,0,40,0,0
427,32,3,132601,13,2,9,0,1,0,0,50,0,0
428,50,3,193374,2,3,2,0,1,0,0,40,0,0
429,24,3,170070,13,4,12,0,0,0,0,20,0,0
430,37,3,126708,9,2,0,0,0,0,0,60,0,0
431,52,3,35598,9,0,13,0,1,0,0,40,0,0
432,38,3,33983,10,2,13,0,1,0,0,40,0,0
433,49,3,192776,14,2,3,0,1,0,1977,45,0,1
434,30,3,118551,13,2,12,0,0,0,0,16,0,1
435,60,3,201965,10,4,9,0,1,0,0,40,0,1
436,35,3,285020,9,4,2,0,1,0,0,40,0,0
437,30,3,303990,9,4,13,0,1,0,0,60,0,0
438,67,3,49401,11,0,7,0,0,0,0,24,0,0
439,46,3,279196,13,4,2,0,0,0,0,40,0,0
440,17,3,211870,5,4,7,0,1,0,0,6,0,0
441,22,3,281432,10,4,5,0,1,0,0,30,0,0
442,27,3,161155,6,4,7,0,1,0,0,40,0,0
443,23,3,197904,9,4,7,0,0,0,0,35,0,0
444,33,3,111746,12,2,2,0,1,0,0,45,20,0
445,43,5,170721,10,2,2,0,1,0,0,20,0,0
446,28,1,70100,13,4,9,0,1,0,0,20,0,0
447,41,3,193626,9,3,2,0,0,0,0,40,0,0
448,25,3,189775,10,3,0,3,0,0,0,20,0,0
449,59,2,286967,9,2,13,0,1,0,0,45,0,0
450,45,2,164427,13,0,9,0,0,0,0,40,0,0
451,38,3,91039,13,2,11,0,1,15024,0,60,0,1
452,40,3,347934,9,4,7,0,0,0,0,35,0,0
453,46,0,371373,9,0,0,0,1,0,0,40,0,0
454,35,3,32220,12,4,3,0,0,0,0,60,0,0
455,34,3,187251,9,0,9,0,0,0,0,25,0,0
456,33,3,178107,13,4,2,0,1,0,0,20,0,0
457,41,3,343121,9,0,0,0,0,0,0,36,0,0
458,20,3,262749,10,4,6,0,1,0,0,40,0,0
459,23,3,403107,3,4,7,0,1,0,0,40,22,0
460,26,3,64293,10,4,9,0,0,0,0,35,0,0
461,23,2,324960,9,4,4,0,1,0,0,40,12,0
462,62,2,114060,9,2,13,0,1,0,0,40,0,0
463,52,3,48925,10,2,0,0,1,0,0,40,0,0
464,58,3,180980,10,0,7,0,0,0,0,42,23,0
465,25,3,181054,13,4,11,0,0,0,0,40,0,0
466,24,3,388093,13,4,3,3,1,0,0,40,0,0
467,19,3,249609,10,4,10,0,1,0,0,8,0,0
468,43,3,112131,10,2,3,0,1,0,0,40,0,0
469,47,2,543162,9,5,0,3,0,0,0,40,0,0
470,39,3,91996,9,0,7,0,0,0,0,40,0,0
471,49,3,141944,11,3,5,0,1,0,1380,42,0,0
472,32,3,37070,11,4,2,0,1,0,0,45,0,0
473,34,3,337587,10,2,9,0,1,0,0,50,0,1
474,28,3,189346,9,0,2,0,1,0,0,45,0,0
475,25,3,267044,10,4,0,2,0,0,0,20,0,0
